"RA","EVADIDO","RESID_ARARAS","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","PONTUACAO_PS","TOT_REPROVACOES","TOT_APROVACOES","TOT_MAT_CURSADAS","NCE047","NCS005","NCS012","SIF001","SIF002","SIF004","SIF005","SIF008","SIF009","SIF010","SIF011","SIF012","SIF015","SIF016","SIF017","SIF019","SIF021","SIF022","SIF026","SIF027","SIF028","SIF031","SIF032","SIF033","SIF034","SIF035","SIF037","SIF040","SIF041","SIF042","SIF043","SIF047","SIF049","SIF055","SIF056","SIF057","SIF058","SIF060","SIF062","SIF063","SIF064","SIF065","SIF066","SIF068","SIF071","SIF003","SIF018","SIF013","SIF014","SIF020","SIF023","SIF025","SIF029","SIF038","SIF039","SIF046","SIF048","SIF070","SIF072","SIF075","SIF082","SIF086","SIF087","NCI001","SIF030","NCS037","NCS040","SIF006","SIF054","SIF073"
"002edf3eae2ce5635d797b35345ffdea","0","1","1",2019,7,47,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"003719ff8ca88d5266775000fbd3c7f9","1","0","1",2016,5.5,48,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"017a04be49784c0140a9506efe4aea86","0","0","1",2019,5.4,30,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"01e8f44367f1a7c965985adbfa881081","1","1","1",2019,6.4,68,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020d6f2880aa06a3eb8de00be3f6d2d2","1","1","1",2016,2.2,40,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0233406e951728976666df486dbdffc1","1","0","1",2017,6.3,48,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"0275dc930c1d73a0b6a220d44b264e40","0","0","1",2016,6.2,48,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,3,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"034cb2ff4109b09a87bc22912a3fd758","0","1","1",2015,6.3,33,0,0,0,0,0,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"03767943e7ff92b050376a464b21afde","0","1","1",2018,6,41,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04d9b766a5a1de3fb7b00d695bde78c4","0","1","1",2017,6.6,63,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
